Area,Price,BHK_Count,Rate per sqft,Status,Property Type,Locality,Builder Name,RERA Approval,,Socity,Company Name,Flat Type
1850,32900000,3,17800,Ready to move,3 BHK Apartment in M3M Heights,Sector 65,Thirty Three Estates Developers,Not approved by RERA,, M3M Heights,M3M,Apartment
1990,35400000,3,17800,Ready to move,3 BHK Apartment in M3M Heights,Sector 65,Thirty Three Estates Developers,Not approved by RERA,, M3M Heights,M3M,Apartment
1990,35400000,3,17800,Ready to move,3 BHK Apartment in M3M Heights,Sector 65,Thirty Three Estates Developers,Not approved by RERA,, M3M Heights,M3M,Apartment
1400,24900000,2,17800,Ready to move,2 BHK Apartment in M3M Heights,Sector 65,Thirty Three Estates Developers,Not approved by RERA,, M3M Heights,M3M,Apartment
1400,24900000,2,17800,Ready to move,2 BHK Apartment in M3M Heights,Sector 65,Thirty Three Estates Developers,Not approved by RERA,, M3M Heights,M3M,Apartment
2699,40400000,4,15000,Under Construction,4 BHK Apartment in M3M Golf Hills,Sector 79,Thirty Three Estates Developers,Approved by RERA,, M3M Golf Hills,M3M,Apartment
2699,40400000,4,15000,Under Construction,4 BHK Apartment in M3M Golf Hills,Sector 79,Thirty Three Estates Developers,Approved by RERA,, M3M Golf Hills,M3M,Apartment
2260,33900000,3,15000,Under Construction,3 BHK Apartment in M3M Golf Hills,Sector 79,Thirty Three Estates Developers,Approved by RERA,, M3M Golf Hills,M3M,Apartment
2260,33900000,3,15000,Under Construction,3 BHK Apartment in M3M Golf Hills,Sector 79,Thirty Three Estates Developers,Approved by RERA,, M3M Golf Hills,M3M,Apartment
2685,40200000,4,15000,Under Construction,4 BHK Apartment in M3M Golf Hills,Sector 79,Thirty Three Estates Developers,Approved by RERA,, M3M Golf Hills,M3M,Apartment
2685,40200000,4,15000,Under Construction,4 BHK Apartment in M3M Golf Hills,Sector 79,Thirty Three Estates Developers,Approved by RERA,, M3M Golf Hills,M3M,Apartment
1200,18000000,2,15000,Under Construction,2 BHK Apartment in Smart Smartworld Orchard,Sector 61,Thirty Three Estates Developers,Approved by RERA,, Smart Smartworld Orchard,Smart,Apartment
1200,18000000,2,15000,Under Construction,2 BHK Apartment in Smart Smartworld Orchard,Sector 61,home,Approved by RERA,, Smart Smartworld Orchard,Smart,Apartment
1120,16800000,2,15000,Under Construction,2 BHK Apartment in Smart Smartworld Orchard,Sector 61,Property In Gurgaon,Approved by RERA,, Smart Smartworld Orchard,Smart,Apartment
1120,16800000,2,15000,Under Construction,2 BHK Apartment in Smart Smartworld Orchard,Sector 61,properties for sale in Gurgaon,Approved by RERA,, Smart Smartworld Orchard,Smart,Apartment
1250,18700000,2,15000,Under Construction,2 BHK Apartment in Smart Smartworld Orchard,Sector 61,Thirty Three Estates Developers,Approved by RERA,, Smart Smartworld Orchard,Smart,Apartment
1250,18700000,2,15000,Under Construction,2 BHK Apartment in Smart Smartworld Orchard,Sector 61,Thirty Three Estates Developers,Approved by RERA,, Smart Smartworld Orchard,Smart,Apartment
1600,24000000,3,15000,Under Construction,3 BHK Apartment in Smart Smartworld Orchard,Sector 61,Thirty Three Estates Developers,Approved by RERA,, Smart Smartworld Orchard,Smart,Apartment
1600,24000000,3,15000,Under Construction,3 BHK Apartment in Smart Smartworld Orchard,Sector 61,Thirty Three Estates Developers,Approved by RERA,, Smart Smartworld Orchard,Smart,Apartment
1500,22500000,3,15000,Under Construction,3 BHK Apartment in Smart Smartworld Orchard,Sector 61,Thirty Three Estates Developers,Approved by RERA,, Smart Smartworld Orchard,Smart,Apartment
1500,22500000,3,15000,Under Construction,3 BHK Apartment in Smart Smartworld Orchard,Sector 61,Thirty Three Estates Developers,Approved by RERA,, Smart Smartworld Orchard,Smart,Apartment
1630,24400000,3,15000,Under Construction,3 BHK Apartment in Smart Smartworld Orchard,Sector 61,Thirty Three Estates Developers,Approved by RERA,, Smart Smartworld Orchard,Smart,Apartment
1630,24400000,3,15000,Under Construction,3 BHK Apartment in Smart Smartworld Orchard,Sector 61,Thirty Three Estates Developers,Approved by RERA,, Smart Smartworld Orchard,Smart,Apartment
